Date,Model,Tokens,Cost
2025-03-05 02:27:24,deepseek-chat,145,0.000145
2025-03-05 02:29:07,deepseek-chat,312,0.000312
2025-03-05 14:03:45,deepseek-chat,121,0.000121
2025-03-05 14:05:38,deepseek-chat,337,0.000337
2025-03-05 14:08:37,deepseek-chat,121,0.000121
2025-03-05 14:09:58,deepseek-chat,324,0.000324
2025-03-05 14:19:03,deepseek-chat,133,0.000133
2025-03-05 14:21:12,deepseek-chat,360,0.000360
2025-03-05 14:38:13,deepseek-chat,413,0.000413
2025-03-05 14:39:54,deepseek-chat,344,0.000344
2025-03-05 14:49:22,deepseek-chat,415,0.000415
2025-03-05 14:51:09,deepseek-chat,361,0.000361
2025-03-05 14:58:03,deepseek-chat,424,0.000424
2025-03-05 15:00:05,deepseek-chat,340,0.000340
